iter,LB,UB,MP_s,SP_s
1,0.0,2.5915093694983003e8,0.0010245,2.012534544
2,24852.851393927795,5.386730126412184e7,0.102321364,1.564367408
3,829467.0853666913,9.579141597448714e6,0.022650419,1.534904627
4,1.7051582570007208e6,4.269328581932351e6,0.013697319,1.602990363
5,2.307817885084102e6,3.9876752912227605e6,0.021872634,1.599075556
6,3.1573476464853454e6,3.906137985158441e6,0.052305509,1.79089269
7,3.2547788138376875e6,3.8141452459497466e6,0.184055685,1.671331358
8,3.536015517421225e6,3.597171655377548e6,0.081842718,1.662681198
9,3.5476252186466637e6,3.597171655377548e6,0.202270404,1.673639069
10,3.549550797601195e6,3.5937319532108176e6,0.355627979,1.6223472
11,3.5571893396962574e6,3.5937319532108176e6,0.406480192,1.595458804
12,3.5576373564240094e6,3.5769789058915456e6,0.313887842,1.660302492
